ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
0075453,Appraisal,13th July 2021,R Hannon,Colt,-,-,-
0075460,Curtain Up,13th July 2021,M W Easterby,Gelding,-,-,-
0075454,Causeway King (USA),13th July 2021,A M Hales,Gelding,-,-,-
0075464,Case And Point,13th July 2021,B R Hamilton,Gelding,-,-,-
0075425,Keep Change (FR),13th July 2021,A Althoffer,Filly,-,-,-
0075422,Volez (IRE),13th July 2021,Rod Collet,Filly,-,-,-
0075475,Like Magic (IRE),13th July 2021,P Martin,Gelding,-,-,-
0075506,Gamedor (FR),13th July 2021,D O'Brien,Gelding,-,-,-
0075479,Another Wexican (IRE),13th July 2021,H De Bromhead,Gelding,-,-,-
0075486,Plane Image (USA),13th July 2021,Richard Small,Colt,-,-,-
0075521,Tardrou (FR),13th July 2021,J L Dubord,Gelding,-,-,-
0075507,Seconde Garde (FR),13th July 2021,D Windrif,Filly,-,-,-
0075504,Gue Desert (FR),13th July 2021,J Rossi,Gelding,-,-,-
0075501,Coquind'ouilly (FR),13th July 2021,F Lenglart,Gelding,-,-,-
0075503,Laomedon (FR),13th July 2021,Chirurgien (s),Gelding,-,-,-
0075435,L'impetueux (FR),13th July 2021,P Khozian,Gelding,-,-,-
0075522,Baikonour (USA),13th July 2021,J Morin,Mare,-,-,-
0075518,Marinous (FR),13th July 2021,F Head,Gelding,-,-,-
0075523,Ice And Shiny (FR),13th July 2021,P Monfort,Gelding,-,-,-
0075516,Cotes D'armor (FR),13th July 2021,H A Pantall,Filly,-,-,-
0075519,Guewn Du Rheu (FR),13th July 2021,D Prod'homme,Gelding,-,-,-
0075450,Security Joan (IRE),13th July 2021,R Hannon,Filly,-,-,-
0075455,Chiberta King,13th July 2021,A M Balding,Gelding,-,-,-
0075452,Tampopo (IRE),13th July 2021,D J S Ffrench Davis,Gelding,-,-,-
0075505,La Maddalena (FR),13th July 2021,C Martens,Mare,-,-,-
0075502,Fine Beauty (BEL),13th July 2021,J M Capitte,Filly,-,-,-
0075517,Palermo Viejo (IRE),13th July 2021,A Fabre,Colt,-,-,-
0075520,Dwilano (GER),13th July 2021,Boutin (s),Colt,-,-,-
0075421,Peach Pearl,13th July 2021,Y De Nicolay,Filly,-,-,-
0075524,Baldounet (FR),13th July 2021,G Le Paysan,Gelding,-,-,-
0075566,Sampower Rose (IRE),13th July 2021,D Carroll,Filly,-,-,-
0075513,Nandi (USA),13th July 2021,A Fabre,Filly,-,-,-
0075567,Onebidkintymill (IRE),13th July 2021,R Hollinshead,Gelding,-,-,-
0075564,Gee Gina,13th July 2021,P T Midgley,Filly,-,-,-
0075482,Slave Hill (IRE),13th July 2021,W P Mullins,Filly,-,-,-
0075581,My Dixie Darling (USA),13th July 2021,R Hannon,Filly,-,-,-
0075579,Lady Master,13th July 2021,Ms J S Doyle,Filly,-,-,-
0075480,Checkherout (IRE),13th July 2021,N G Hynds,Filly,-,-,-
0075596,Fastey (IRE),13th July 2021,D M O'Brien,Gelding,-,-,-
0075563,Arriva La Diva,13th July 2021,Miss L A Perratt,Mare,-,-,-
0075594,Fathzo (IRE),13th July 2021,G Keane,Gelding,-,-,-
0075568,Diggeratt (USA),13th July 2021,George Baker,Filly,-,-,-
0075582,Liberty Trail (IRE),13th July 2021,P D Evans,Gelding,-,-,-
0075578,Kilsyth (IRE),13th July 2021,S Parr,Filly,-,-,-
0075611,Never A Secret (IRE),13th July 2021,H P Finegan,Mare,-,-,-
0075514,Cesaire (FR),13th July 2021,Fx De Chevigny,Mare,-,-,-
0075609,Kings Orchid (IRE),13th July 2021,A McGuinness,Mare,-,-,-
0075597,Cabinteely (IRE),13th July 2021,Miss R Leyshon,Gelding,-,-,-
0075626,Impressionist Art (USA),13th July 2021,P J Flynn,Filly,-,-,-
